Id,SalePrice
1461,126001.13579338047
1462,158669.42344654983
1463,181756.4833058164
1464,189443.1193733541
1465,191238.87083128747
1466,174876.66403582375
1467,176144.47395672687
1468,169120.35476650303
1469,181065.84445714217
1470,122338.92332339648
1471,193687.54392313486
1472,92059.2995014109
1473,95999.88021073512
1474,150032.2507143069
1475,124243.87596963588
1476,355101.30239483964
1477,255212.60626114483
1478,289927.2106943192
1479,287611.7786807101
1480,486766.4030412249
1481,326305.81154556485
1482,202342.4986568121
1483,177699.12373720366
1484,164446.0979388657
1485,180560.11750268066
1486,196608.88290144491
1487,331336.68938500126
1488,235751.79418169006
1489,193623.04475594364
1490,225325.8047453279
1491,185451.23881629272
1492,86647.3168709816
1493,178943.64523744278
1494,291367.42429595016
1495,287536.06122100074
1496,231053.69008231457
1497,184524.4520455586
1498,158081.28555586413
1499,158553.20924766586
1500,150090.54530747622
1501,175085.75649937056
1502,150768.71134077932
1503,283540.4202696276
1504,240162.03862672052
1505,228218.36069657182
1506,184091.86544741012
1507,241141.26535415763
1508,194524.8177690556
1509,160720.63929805363
1510,148083.30615396085
1511,143253.0538292817
1512,167193.39075875917
1513,147089.29835796217
1514,165697.6444466033
1515,186580.1657341613
1516,150176.40346023277
1517,158455.89795627163
1518,124028.966487738
1519,224296.95890493423
1520,136764.90289649242
1521,135535.585860353
1522,168839.3220862863
1523,109471.7274260872
1524,123251.27153357858
1525,125613.03773897472
1526,125022.68494233985
1527,99982.66522857483
1528,135316.41279026255
1529,144069.01764478497
1530,172683.28513477033
1531,109863.12089709177
1532,102817.3293657182
1533,145840.94246581473
1534,112911.98333925151
1535,160237.4386190764
1536,113671.28778464298
1537,60985.527530144675
1538,160010.53061156604
1539,202513.08313811372
1540,100028.31517071853
1541,149623.03458788974
1542,143990.39787313584
1543,212215.2879678197
1544,83495.99239504173
1545,110489.41776819296
1546,131429.59590943417
1547,134695.88113996884
1548,133459.41029708477
1549,103938.0768048096
1550,135249.367524889
1551,118992.21687377477
1552,122387.99906099966
1553,143997.71231150866
1554,110618.82579746096
1555,168489.33373086213
